2026-03-24 16:55:26 | INFO | Starting setup...
2026-03-24 16:56:46 | INFO | Starting setup...
2026-03-24 16:57:04 | INFO | Setup completed successfully!
2026-03-24 16:57:04 | INFO | ChromaDB: C:\Projekti\AdpRag\chroma_db
2026-03-24 16:57:04 | INFO | Number of chunks: 381
2026-03-24 17:01:10 | INFO | Starting setup...
2026-03-24 17:01:10 | INFO | Deleting existing ChromaDB...
2026-03-24 17:01:16 | INFO | Loaded 15 pages/sections
2026-03-24 17:01:16 | INFO | Created 381 chunks from 15 documents
2026-03-24 17:01:16 | INFO | Loading embedding model (sentence-transformers/all-MiniLM-L6-v2)...
2026-03-24 17:01:18 | INFO | Embedding model ready
2026-03-24 17:01:18 | INFO | Saving to ChromaDB (C:\Projekti\AdpRag\chroma_db)...
2026-03-24 17:01:28 | INFO | Vector database created with 381 chunks
2026-03-24 17:01:28 | INFO | Setup completed successfully!
2026-03-24 17:01:28 | INFO | ChromaDB: C:\Projekti\AdpRag\chroma_db
2026-03-24 17:01:28 | INFO | Number of chunks: 381
2026-03-24 17:05:53,625 | INFO | Starting setup...
2026-03-24 17:05:53,625 | INFO | Deleting existing ChromaDB...
2026-03-24 17:05:58,990 | INFO | Loaded 15 pages/sections
2026-03-24 17:05:59,008 | INFO | Created 381 chunks
2026-03-24 17:05:59,009 | INFO | Loading embedding model (sentence-transformers/all-MiniLM-L6-v2)...
2026-03-24 17:06:02,434 | INFO | Embedding model ready
2026-03-24 17:06:02,434 | INFO | Saving to ChromaDB (C:\Projekti\AdpRag\chroma_db)...
2026-03-24 17:06:12,944 | INFO | Vector database created with 381 chunks
2026-03-24 17:06:12,944 | INFO | Setup completed successfully!
2026-03-24 17:06:12,944 | INFO | ChromaDB: C:\Projekti\AdpRag\chroma_db
2026-03-24 17:06:12,944 | INFO | Number of chunks: 381
2026-03-24 17:23:19,175 | INFO | Loading embedding model (sentence-transformers/all-MiniLM-L6-v2)...
2026-03-24 17:23:22,349 | INFO | Embedding model ready
2026-03-24 17:23:22,349 | INFO | Saving to ChromaDB (C:\Projekti\AdpRag\chroma_db)...
2026-03-24 17:25:07,728 | INFO | Loading existing ChromaDB from C:\Projekti\AdpRag\chroma_db...
2026-03-24 17:25:11,819 | INFO | Vector database loaded with 381 chunks
2026-03-24 17:26:34,717 | INFO | Loading existing ChromaDB from C:\Projekti\AdpRag\chroma_db...
2026-03-24 17:26:38,855 | INFO | Vector database loaded with 381 chunks
2026-03-24 17:26:38,858 | INFO | QA chain created with model mistral
2026-03-24 17:26:38,858 | INFO | API initialized successfully. Ready to serve questions.
2026-03-24 17:26:56,520 | INFO | Loading existing ChromaDB from C:\Projekti\AdpRag\chroma_db...
2026-03-24 17:27:01,017 | INFO | Vector database loaded with 381 chunks
2026-03-24 17:27:01,020 | INFO | QA chain created with model mistral
2026-03-24 17:27:01,020 | INFO | API initialized successfully. Ready to serve questions.
